Error: That port is already in use.
[15/Jul/2019 10:32:23] "GET /static/admin/img/icon-clock.svg HTTP/1.1" 304 0
[15/Jul/2019 10:32:47] "GET /admin/auth/user/1/history/ HTTP/1.1" 200 1741
[15/Jul/2019 10:32:52] "GET /admin/ HTTP/1.1" 200 8422
[15/Jul/2019 10:33:07] "GET /admin/ HTTP/1.1" 200 8422
[15/Jul/2019 10:33:21] "GET /admin/hosts/host/ HTTP/1.1" 200 6062
[15/Jul/2019 10:33:22] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[15/Jul/2019 10:33:24] "GET /admin/hosts/host/2/change/ HTTP/1.1" 200 7771
[15/Jul/2019 10:33:24] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[15/Jul/2019 10:33:49] "GET /admin/hosts/ HTTP/1.1" 200 2191
[15/Jul/2019 10:33:50] "GET /admin/ HTTP/1.1" 200 8422
[15/Jul/2019 10:33:51] "GET /admin/firetemplate/system/ HTTP/1.1" 200 6090
[15/Jul/2019 10:33:51] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[15/Jul/2019 10:33:54] "GET /admin/firetemplate/system/1/change/ HTTP/1.1" 200 5099
[15/Jul/2019 10:33:54] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
